fecha,mes,tipo,numeroFactura,contraparte,contraparteNIT,concepto,subtotal,iva,total,archivo
2025-12-28,01 ENERO 26,COSTO,181E224143,COMPAÑIA DE ALIMENTOS COLOMBIANOS CALCO S.A..,800180330,VASO CYW,56759.26,4540.74,66950,800180330_181E224143.xml
2025-12-31,01 ENERO 26,COSTO,X8132518766,COLOMBIANA DE COMERCIO S.A.,890900943,"Parl VTA Bluet Duett 80W""Ng",336050.42,63849.58,399900,fv08909009430062501A27580.xml
2026-01-05,01 ENERO 26,COSTO,REME3677982,CAMARA DE COMERCIO DE MEDELLIN PARA ANTIOQUIA,890905080,,12100,0,12100,ad089090508000426e1ea7168.xml
2026-01-07,01 ENERO 26,COSTO,PENV14803,GANSO & CASTOR SAS,900528916,SODA BOTELLA,84722,6778,99972.2,900528916_PENV14803.xml
2026-01-08,01 ENERO 26,COSTO,SSF5720,MULTICENTRO DE SERVICIOS S.A.S,890912300,RECARGA EXTINTOR 5 LBS.,326922.06,62115.19,389037.25,ad08909123000252600088D21.xml
2026-01-08,01 ENERO 26,COSTO,FEME4509,MUDANZAS ESPECIALIZADAS S.A.S,900693232,EMBALAJE Y TRASLADO,715000,135850,850850,ad0900693232008260000000d(1).xml
2026-01-08,01 ENERO 26,COSTO,FEME4509,MUDANZAS ESPECIALIZADAS S.A.S,900693232,EMBALAJE Y TRASLADO,715000,135850,850850,ad0900693232008260000000d.xml
2026-01-09,01 ENERO 26,COSTO,FV552576,COCOROLLO EL LIMONAR S.A.S.,901118257,CAFE CON LECHE,72407,5793,78200,fv09011182570152600552576.xml
2026-01-09,01 ENERO 26,COSTO,AP221,AYAPEL PARAISO SAS,901904150,ALMUERZO TRADICIONAL,46296.3,3703.7,50000,ad09019041500082600000001.xml
2026-01-11,01 ENERO 26,COSTO,ELB2981046,DISTRACOM S.A.,811009788,CORRIENTE,184044,0,184044,ad0811009788000202602946284.xml
2026-01-12,01 ENERO 26,COSTO,CSBR53782,LA CASA BRAVA S.A.S,901754813,QUESADILLA,66203.69,5296.31,78120.37,ad09017548130242600005966.xml
2026-01-13,01 ENERO 26,COSTO,R602336167,CREPES Y WAFFLES S A,860076919,CREPE TERNERA CHAMPIÐON,29259.26,2340.74,31600,ad8600769190000R602336167.xml
2026-01-13,01 ENERO 26,COSTO,FVE2335385,JETSMART AIRLINES S.A.S.,901526059,TASAS WBWYGD,307100,54055,361155,face_0901526059000023a299.xml
2026-01-13,01 ENERO 26,COSTO,F0027743,MEGA STORAGE COLOMBIA SAS,900585869,,446679.79,84869.16,531548.95,fv09005858690152600007743.xml
2026-01-24,01 ENERO 26,COSTO,C1121395891,FRANQUICIAS Y CONCESIONES S A S - EN REORGANIZACION,830101778,HAMB SMASH CEBOLLA,37870,3030,40900,ad830101778C1121395891.xml
2026-01-24,01 ENERO 26,COSTO,C1121395891,FRANQUICIAS Y CONCESIONES S A S - EN REORGANIZACION,830101778,HAMB SMASH CEBOLLA,37870,3030,40900,ad830101778C1121395891.xml
2026-01-26,01 ENERO 26,COSTO,PEGE110477,GRUPO ECOTERRA S.A.S.,901520263,,41848.73,7951.26,49800,ad09015202630922600001c42.xml
2026-01-26,01 ENERO 26,COSTO,SAFE293731,SANCHO PAISA S.A.S.,901665537,,60318.49,3081.51,63400,ad090166553700426a5db34c6.xml
2026-01-26,01 ENERO 26,COSTO,PEGE110477,GRUPO ECOTERRA S.A.S.,901520263,,41848.73,7951.26,49800,ad09015202630922600001c42.xml
2026-01-26,01 ENERO 26,COSTO,SAFE293731,SANCHO PAISA S.A.S.,901665537,,60318.49,3081.51,63400,ad090166553700426a5db34c6.xml
2026-01-27,01 ENERO 26,COSTO,669973,PASH S.A.S,860503159,32090292XL   10 CAMISETA OVERSIZE CON CORTES PLUSH,345042.01,65557.99,410600,ad086050315901026168640061.xml
2026-01-27,01 ENERO 26,COSTO,669973,PASH S.A.S,860503159,32090292XL   10 CAMISETA OVERSIZE CON CORTES PLUSH,345042.01,65557.99,410600,ad086050315901026168640061.xml
2026-01-29,01 ENERO 26,COSTO,621V376411,LIBRERIA NACIONAL SAS,890301951,MANDALAS,145800,0,145800,ad0890301951016260005be5b.xml
2026-01-29,01 ENERO 26,COSTO,621V376411,LIBRERIA NACIONAL SAS,890301951,MANDALAS,145800,0,145800,ad0890301951016260005be5b.xml
2026-01-31,01 ENERO 26,COSTO,02SA159592,INVERSIONES EURO SA,811045607,,551183,57403,651564,fv08110456070152600159592.xml
