fecha,descripcion,valor,categoria,archivo
,SALDO_ANTERIOR,9040158.44,SALDO,Ext Banco ENE2026.pdf
2026-01-01,ABONO INTERESES AHORROS,12.38,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-02,ABONO INTERESES AHORROS,11.84,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-02,IMPTO GOBIERNO 4X1000,-1560.31,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-02,COMPRA EN DECATHLON,-80000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-02,COMPRA EN OCI.MDE,-310078,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-03,ABONO INTERESES AHORROS,4.7,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-03,IMPTO GOBIERNO 4X1000,-20766.84,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-03,COMPRA EN MALL AUTOS,-191710,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-03,RETIRO CAJERO,-1000000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-03,RETIRO CAJERO,-1000000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-03,TRANSFERENCIA CTA CAJERO,-3000000,TRASLADO_INTERNO,Ext Banco ENE2026.pdf
2026-01-04,ABONO INTERESES AHORROS,4.6,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-04,IMPTO GOBIERNO 4X1000,-300,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-04,COMPRA EN BOLD*Vibor,-75000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-05,ABONO INTERESES AHORROS,3.28,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-05,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-05,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-05,CUOTA PLAN CANAL NEGOCIOS,-72990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-05,IMPTO GOBIERNO 4X1000,-3845.81,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-05,IVA CUOTA PLAN CANAL NEGOCIOS,-13868.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-05,COMPRA EN WAKE BIO P,-18000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-05,PAGO PSE CAMARA DE COMERCIO D,-12100,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-05,PAGO A PROVE Jorge Gonzalez,-435000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-05,PAGO A PROVE diego santa,-400000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-05,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-05,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-06,PAGO DE PROV PELDAR S A,7684230,INGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-06,ABONO INTERESES AHORROS,13.8,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-07,ABONO INTERESES AHORROS,13.67,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-07,IMPTO GOBIERNO 4X1000,-399.88,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-07,COMPRA EN GANSO CAST,-99972,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-08,ABONO INTERESES AHORROS,12.2,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-08,IMPTO GOBIERNO 4X1000,-4267.6,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-08,COMPRA EN DOLLARCITY,-6000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-08,COMPRA EN DOLLARCITY,-8000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-08,COMPRA EN DOLLARCITY,-38000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-08,TRANSFERENCIA CTA CAJERO,-1000000,TRASLADO_INTERNO,Ext Banco ENE2026.pdf
2026-01-08,CUOTA MANEJO TRJ DEB 01 26,-14900,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-09,PAGO DE PROV BANCOLOMBIA SA,14270713.49,INGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-09,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-09,IMPTO GOBIERNO 4X1000,-2018.99,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-09,PAGO A PROVE andres romero,-500000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-09,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-12,ABONO INTERESES AHORROS,124.2,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-13,SERVICIO PAGO A PROVEEDORES,-11970,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-13,IMPTO GOBIERNO 4X1000,-31896.97,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-13,PAGO A PROVE andres romero,-5000000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-13,PAGO A PROVE catalina romero,-1000000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-13,PAGO A PROVE carolina romero,-1960000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-13,COBRO IVA PAGOS AUTOMATICOS,-2274.3,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-14,ABONO INTERESES AHORROS,40.18,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-15,SERVICIO PAGO A OTROS BANCOS,-7590,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-15,PAGO A PROV Nicolas Gutierrez,-1152000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-15,IMPTO GOBIERNO 4X1000,-4644.12,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-15,COBRO IVA PAGOS AUTOMATICOS,-1442.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-19,ABONO INTERESES AHORROS,92.45,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-20,PAGO DE PROV PELDAR S A,6203850,INGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-20,ABONO INTERESES AHORROS,14.24,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-20,TRASLADO A FONDO DE INVERSION,-6700000,TRASLADO_INTERNO,Ext Banco ENE2026.pdf
2026-01-20,TRASLADO A FONDO DE INVERSION,-2000000,TRASLADO_INTERNO,Ext Banco ENE2026.pdf
2026-01-20,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-20,IMPTO GOBIERNO 4X1000,-2418.99,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-20,PAGO A PROVE pedro sierra,-600000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-20,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-21,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-21,IMPTO GOBIERNO 4X1000,-14018.99,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-21,PAGO A PROVE andres romero,-3500000,EGRESO_OPERATIVO,Ext Banco ENE2026.pdf
2026-01-21,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,Ext Banco ENE2026.pdf
2026-01-26,ABONO INTERESES AHORROS,56.52,RENDIMIENTO,Ext Banco ENE2026.pdf
2026-01-27,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco ENE2026.pdf
2026-01-27,IMPTO GOBIERNO 4X1000,-14018.99,IMPUESTO,Ext Banco ENE2026.pdf
