fecha,descripcion,valor,categoria,archivo
,SALDO_ANTERIOR,2857836.33,SALDO,Banco FEB2026.pdf
2026-02-01,CUOTA PLAN CANAL NEGOCIOS,-78000,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-01,IMPTO GOBIERNO 4X1000,-371.28,IMPUESTO,Banco FEB2026.pdf
2026-02-01,IVA CUOTA PLAN CANAL NEGOCIOS,-14820,IMPUESTO,Banco FEB2026.pdf
2026-02-02,ABONO INTERESES AHORROS,7.56,RENDIMIENTO,Banco FEB2026.pdf
2026-02-03,TRASLADO DE FONDO DE INVERS,7000000,TRASLADO_INTERNO,Banco FEB2026.pdf
2026-02-03,ABONO INTERESES AHORROS,3.45,RENDIMIENTO,Banco FEB2026.pdf
2026-02-03,SERVICIO PAGO A PROVEEDORES,-11970,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-03,IMPTO GOBIERNO 4X1000,-28856.57,IMPUESTO,Banco FEB2026.pdf
2026-02-03,PAGO PSE SIIGO S.A.,-199900,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-03,PAGO A PROVE mariano garcias,-1000000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-03,PAGO A PROVE catalina romero,-1000000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-03,PAGO A PROVE andres romero,-5000000,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-03,COBRO IVA PAGOS AUTOMATICOS,-2274.3,IMPUESTO,Banco FEB2026.pdf
2026-02-04,IMPTO GOBIERNO 4X1000,-2023,IMPUESTO,Banco FEB2026.pdf
2026-02-04,PAGO PSE WOMPI S.A.S,-505750,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-05,ABONO INTERESES AHORROS,5.5,RENDIMIENTO,Banco FEB2026.pdf
2026-02-06,IMPTO GOBIERNO 4X1000,-665.76,IMPUESTO,Banco FEB2026.pdf
2026-02-06,COMPRA EN EDS CIUDAD,-166442,EGRESO_OPERATIVO,Banco FEB2026.pdf
2026-02-08,ABONO INTERESES AHORROS,7.56,RENDIMIENTO,Banco FEB2026.pdf
2026-02-09,TRASLADO DE FONDO DE INVERS,2100000,TRASLADO_INTERNO,Banco FEB2026.pdf
2026-02-09,ABONO INTERESES AHORROS,2.5,RENDIMIENTO,Banco FEB2026.pdf
2026-02-09,SERVICIO PAGO A PROVEEDORES,-7980,COSTO_FINANCIERO,Banco FEB2026.pdf
2026-02-09,IMPTO GOBIERNO 4X1000,-8437.98,IMPUESTO,Banco FEB2026.pdf
2026-02-09,PAGO A PROVE catalina romero,-1600000,EGRESO_OPERATIVO,Banco FEB2026.pdf
