fecha,descripcion,valor,categoria,archivo
,SALDO_ANTERIOR,4376662.43,SALDO,43000001775_MAR2026.pdf
2026-03-02,ABONO INTERESES AHORROS,11.98,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-03,ABONO INTERESES AHORROS,1.56,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-03,IMPTO GOBIERNO 4X1000,-12888,IMPUESTO,43000001775_MAR2026.pdf
2026-03-03,PAGO PSE IMPUESTO DIAN ZONA ROSA,-2352000,IMPUESTO,43000001775_MAR2026.pdf
2026-03-03,PAGO PSE IMPUESTO DIAN ZONA ROSA,-870000,IMPUESTO,43000001775_MAR2026.pdf
2026-03-04,IMPTO GOBIERNO 4X1000,-2023,IMPUESTO,43000001775_MAR2026.pdf
2026-03-04,PAGO PSE WOMPI S.A.S,-505750,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-05,ABONO INTERESES AHORROS,1.72,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-06,PAGO DE PROV BANCOLOMBIA SA,14270713.49,INGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-06,CUOTA PLAN CANAL NEGOCIOS,-78000,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-06,IMPTO GOBIERNO 4X1000,-371.28,IMPUESTO,43000001775_MAR2026.pdf
2026-03-06,IVA CUOTA PLAN CANAL NEGOCIOS,-14820,IMPUESTO,43000001775_MAR2026.pdf
2026-03-08,ABONO INTERESES AHORROS,60.84,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-09,ABONO INTERESES AHORROS,12.79,RENDIMIENTO,43000001775_MAR2026.pdf
2026-03-09,TRASLADO A FONDO DE INVERSION,-4500000,TRASLADO_INTERNO,43000001775_MAR2026.pdf
2026-03-09,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-09,IMPTO GOBIERNO 4X1000,-3858.99,IMPUESTO,43000001775_MAR2026.pdf
2026-03-09,PAGO A PROVE LA R FRESH MIND,-960000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-09,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,43000001775_MAR2026.pdf
2026-03-10,SERVICIO PAGO A PROVEEDORES,-11970,COSTO_FINANCIERO,43000001775_MAR2026.pdf
2026-03-10,IMPTO GOBIERNO 4X1000,-15576.97,IMPUESTO,43000001775_MAR2026.pdf
2026-03-10,PAGO A PROVE mariano garcias,-960000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
2026-03-10,PAGO A PROVE catalina romero,-1000000,EGRESO_OPERATIVO,43000001775_MAR2026.pdf
