fecha,descripcion,valor,categoria,archivo
,SALDO_ANTERIOR,1664826.13,SALDO,Ext Banco MAY2026.pdf
2026-05-01,SERVICIO PAGO A PROVEEDORES,-3990,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-01,SERVICIO PAGO A PROVEEDORES,-11970,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-01,SERVICIO PAGO A PROVEEDORES,-7980,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-01,CUOTA PLAN CANAL NEGOCIOS,-78000,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-01,IMPTO GOBIERNO 4X1000,-485.23,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-01,IVA CUOTA PLAN CANAL NEGOCIOS,-14820,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-01,COBRO IVA PAGOS AUTOMATICOS,-2274.3,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-01,COBRO IVA PAGOS AUTOMATICOS,-758.1,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-01,COBRO IVA PAGOS AUTOMATICOS,-1516.2,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-04,ABONO INTERESES AHORROS,8.44,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-05,IMPTO GOBIERNO 4X1000,-2023,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-05,PAGO PSE WOMPI S A S,-505750,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-07,ABONO INTERESES AHORROS,4.23,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-08,PAGO DE PROV BANCOLOMBIA SA,16904909.39,INGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-11,ABONO INTERESES AHORROS,98.28,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-12,TRASLADO A FONDO DE INVERSION,-7000000,TRASLADO_INTERNO,Ext Banco MAY2026.pdf
2026-05-12,SERVICIO PAGO A PROVEEDORES,-11970,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-12,IMPTO GOBIERNO 4X1000,-31336.97,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-12,PAGO A PROVE edison vasco,-600000,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-12,PAGO A PROVE andres romero,-5000000,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-12,PAGO A PROVE carolina romero,-2220000,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-12,COBRO IVA PAGOS AUTOMATICOS,-2274.3,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-14,ABONO INTERESES AHORROS,12.63,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-14,C MANEJO TARJ DEB 9247 05 26,-18050,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-14,AJUSTE INTERES AHORROS DB,-0.03,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-15,IMPTO GOBIERNO 4X1000,-72.2,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-19,ABONO INTERESES AHORROS,20.9,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-20,TRASLADO DE FONDO DE INVERS,11000000,TRASLADO_INTERNO,Ext Banco MAY2026.pdf
2026-05-20,ABONO INTERESES AHORROS,7.97,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-20,IMPTO GOBIERNO 4X1000,-32800.09,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-20,COMPRA INTL CATALYST CREATIVE,-8200024.2,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-21,ABONO INTERESES AHORROS,7.75,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-21,IMPTO GOBIERNO 4X1000,-640,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-21,COMPRA EN BERNARD ST,-160000,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-22,IMPTO GOBIERNO 4X1000,-200,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-22,COMPRA EN ESTACIA N,-50000,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-25,ABONO INTERESES AHORROS,30.72,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-26,TRASLADO DE FONDO DE INVERS,13000000,TRASLADO_INTERNO,Ext Banco MAY2026.pdf
2026-05-26,SERVICIO PAGO A PROVEEDORES,-7980,COSTO_FINANCIERO,Ext Banco MAY2026.pdf
2026-05-26,IMPTO GOBIERNO 4X1000,-18548.82,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-26,PAGO A PROVE edison vasco,-667709,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-26,PAGO A PROVE mariano garcias,-960000,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-26,TRANSFERENCIA CTA CAJERO,-3000000,TRASLADO_INTERNO,Ext Banco MAY2026.pdf
2026-05-26,COBRO IVA PAGOS AUTOMATICOS,-1516.2,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-27,ABONO INTERESES AHORROS,38.22,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-28,TRANSFERENCIA DESDE NEQUI,11000,TRASLADO_INTERNO,Ext Banco MAY2026.pdf
2026-05-28,ABONO INTERESES AHORROS,19.13,RENDIMIENTO,Ext Banco MAY2026.pdf
2026-05-29,IMPTO GOBIERNO 4X1000,-253.92,IMPUESTO,Ext Banco MAY2026.pdf
2026-05-29,COMPRA EN PARMESSANO,-63480,EGRESO_OPERATIVO,Ext Banco MAY2026.pdf
2026-05-31,ABONO INTERESES AHORROS,57.12,RENDIMIENTO,Ext Banco MAY2026.pdf
,SALDO_ACTUAL,13904618.35,SALDO,Ext Banco MAY2026.pdf
